timestamp,4_RJT2VI_QQ_GLOBAL_Fe
2022-05-31 19:01:00,30.96999931
2022-05-31 21:01:00,25.97999954
2022-05-31 23:01:00,32.11000061
2022-06-01 01:01:00,30.21999931
2022-06-01 03:01:00,30.95999908
2022-06-01 05:01:00,31.84000015
2022-06-01 07:01:00,26.67000008
2022-06-01 09:01:00,21.90999985
2022-06-01 11:01:00,21.62000084
2022-06-01 13:01:00,22.62000084
2022-06-01 15:01:00,19.57999992
2022-06-01 17:01:00,21.07999992
2022-06-01 19:01:00,20.84000015
2022-06-01 21:01:00,19.98999977
2022-06-01 23:01:00,19.87000084
2022-06-02 01:01:00,25.04000092
2022-06-02 03:01:00,25.13999939
2022-06-02 05:01:00,18.97999954
2022-06-02 07:01:00,19.43000031
2022-06-02 09:01:00,17.84000015
2022-06-02 11:01:00,20.55999947
2022-06-02 13:01:00,17.86000061
2022-06-02 15:01:00,18.05999947
2022-06-02 17:01:00,16.68000031
2022-06-02 19:01:00,16.62000084
2022-06-02 21:01:00,16.94000053
2022-06-02 23:01:00,18.90999985
2022-06-03 01:01:00,17.55999947
2022-06-03 03:01:00,18.92000008
2022-06-03 05:01:00,19.20000076
2022-06-03 07:01:00,18.93000031
2022-06-03 09:01:00,17.44000053
2022-06-03 11:01:00,17.44000053
2022-06-03 13:01:00,19.88999939
2022-06-03 15:01:00,15.31999969
2022-06-03 17:01:00,21.51000023
2022-06-03 19:01:00,23.07999992
2022-06-03 21:01:00,19.80999947
2022-06-03 23:01:00,20.87999916
2022-06-04 01:01:00,22.19000053
2022-06-04 03:01:00,20.62000084
2022-06-04 05:01:00,22.12999916
2022-06-04 07:01:00,21.17000008
2022-06-04 09:01:00,21.38999939
2022-06-04 11:01:00,22.05999947
2022-06-04 13:01:00,21.59000015
2022-06-04 15:01:00,46.43000031
2022-06-04 17:01:00,23.98999977
2022-06-04 19:01:00,24.90999985
2022-06-04 21:01:00,24.45999908
2022-06-04 23:01:00,22.31999969
2022-06-05 01:01:00,20.92000008
2022-06-05 03:01:00,23.20000076
2022-06-05 05:01:00,25.59000015
2022-06-05 07:01:00,28.07999992
2022-06-05 09:01:00,26.36000061
2022-06-05 11:01:00,26.55999947
2022-06-05 13:01:00,25.80999947
2022-06-05 15:01:00,26.19000053
2022-06-05 17:01:00,15.85000038
2022-06-05 19:01:00,15.65999985
2022-06-05 21:01:00,15.32999992
2022-06-05 23:01:00,15.77000046
2022-06-06 01:01:00,23.13999939
2022-06-06 03:01:00,23.40999985
